Priority Score,Department,Sub-Department,Category,Service Level,Resolution Time (mins)
7,Credit,Transactions & Payments,Working Capital Loan,3,27
10,Forex,Transactions & Payments,Letter of Credit,2,21
6,Credit,KYC & Documentation,Loan Against Property,1,4
6,Credit,Retail Loans,SWIFT Transfer,2,30
2,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,3,54
8,General Banking,Corporate Loans,Repatriation of Funds,1,65
8,General Banking,Credit Cards,Reward Points Inquiry,1,19
10,General Banking,International Transactions,Fixed Deposit,3,30
9,Forex,Currency Exchange,Debit Card Activation,1,24
6,Credit,Accounts & Deposits,Education Loan,3,16
4,Forex,International Transactions,Net Banking Login Issue,1,37
7,Forex,Corporate Loans,Fixed Deposit,3,22
1,Forex,Transactions & Payments,Working Capital Loan,3,62
9,General Banking,Corporate Loans,Debit Card Activation,2,5
7,Forex,Trade Finance,Car Loan,2,21
5,Forex,Foreign Investments & NRI Banking,Letter of Credit,3,86
9,Credit,Accounts & Deposits,SWIFT Transfer,1,86
4,Forex,Transactions & Payments,Debit Card Activation,2,34
7,General Banking,Transactions & Payments,Education Loan,3,25
9,Forex,Mortgage & Secured Loans,Reward Points Inquiry,2,7
10,Forex,Foreign Investments & NRI Banking,Education Loan,2,81
5,Credit,Foreign Investments & NRI Banking,Cash Currency Exchange,3,8
10,Forex,Accounts & Deposits,Car Loan,2,5
10,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,1,45
7,Forex,Foreign Investments & NRI Banking,Car Loan,3,23
4,Forex,International Transactions,Education Loan,3,25
7,Credit,Corporate Loans,NEFT/RTGS/IMPS Issue,2,28
6,Credit,International Transactions,Education Loan,2,86
10,General Banking,Currency Exchange,Education Loan,3,10
7,Forex,Microfinance & Agricultural Loans,Education Loan,1,14
6,General Banking,Transactions & Payments,SWIFT Transfer,2,31
4,Credit,KYC & Documentation,Personal Loan,3,25
6,Forex,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,2,3
5,Forex,Retail Loans,Reward Points Inquiry,2,26
1,Forex,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,1,41
10,Credit,KYC & Documentation,Foreign Exchange Rates Inquiry,3,11
3,General Banking,Corporate Loans,Lost/Stolen Card,1,86
5,Forex,Credit Cards,Mobile Banking Issue,3,27
9,General Banking,Credit Cards,Personal Loan,3,75
7,Forex,International Transactions,Home Loan,2,3
6,Forex,Accounts & Deposits,NRE/NRO Account Opening,2,3
8,General Banking,International Transactions,Reward Points Inquiry,1,3
8,Credit,KYC & Documentation,Cash Currency Exchange,1,43
9,Credit,Corporate Loans,Net Banking Login Issue,2,16
4,Credit,Microfinance & Agricultural Loans,Loan Against Property,1,71
4,Forex,International Transactions,Mobile Banking Issue,2,38
1,General Banking,Foreign Investments & NRI Banking,Loan Against Property,1,86
4,Credit,International Transactions,Cash Currency Exchange,2,21
8,General Banking,Foreign Investments & NRI Banking,Cash Currency Exchange,1,36
10,Forex,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,16
8,Forex,Currency Exchange,Education Loan,3,34
9,Forex,Foreign Investments & NRI Banking,Credit Limit Increase,3,19
9,General Banking,International Transactions,Foreign Exchange Rates Inquiry,1,25
5,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,3,17
5,General Banking,International Transactions,Personal Loan,2,13
5,Credit,Retail Loans,Mobile Banking Issue,2,5
8,General Banking,Trade Finance,Cash Currency Exchange,1,25
6,General Banking,Accounts & Deposits,Debit Card Activation,3,25
10,General Banking,Trade Finance,Car Loan,1,26
1,Forex,International Transactions,Cash Currency Exchange,3,57
3,Credit,Retail Loans,Working Capital Loan,1,24
7,Credit,Banking Tech & Digital Services,Car Loan,3,11
10,General Banking,Transactions & Payments,Bank Guarantee,1,16
7,Credit,Foreign Investments & NRI Banking,Debit Card Activation,1,86
1,Credit,Trade Finance,Letter of Credit,2,23
5,General Banking,Trade Finance,Fixed Deposit,1,84
5,General Banking,Accounts & Deposits,Lost/Stolen Card,1,21
7,Forex,Trade Finance,Working Capital Loan,3,8
1,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,2,86
3,Forex,Banking Tech & Digital Services,Cash Currency Exchange,1,11
4,Credit,Mortgage & Secured Loans,Car Loan,1,3
3,Forex,Trade Finance,Education Loan,1,3
1,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,2,66
8,Credit,Accounts & Deposits,Fixed Deposit,3,3
3,Credit,Accounts & Deposits,Education Loan,3,24
5,Forex,Currency Exchange,Fixed Deposit,3,30
6,Forex,Currency Exchange,Car Loan,1,22
9,Credit,Accounts & Deposits,Net Banking Login Issue,2,11
5,Forex,Currency Exchange,Education Loan,1,61
7,Forex,Credit Cards,Mobile Banking Issue,3,7
4,General Banking,Retail Loans,SWIFT Transfer,2,24
4,Credit,KYC & Documentation,Foreign Exchange Rates Inquiry,3,21
5,Forex,Trade Finance,Personal Loan,1,29
7,Forex,Credit Cards,NEFT/RTGS/IMPS Issue,1,3
