Priority Score,Department,Sub-Department,Service Request,Service Request Level,Resolution Time (Minutes)
3,Forex,Accounts & Deposits,SWIFT Transfer,3,55.0
8,Forex,International Transactions,NEFT/RTGS/IMPS Issue,2,3.0
10,Credit,Trade Finance,Education Loan,2,3.0
10,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,1,9.3
9,General Banking,Retail Loans,Foreign Exchange Rates Inquiry,2,12.1
1,Forex,Credit Cards,Lost/Stolen Card,1,16.7
10,Forex,Mortgage & Secured Loans,Bank Guarantee,1,3.0
10,Forex,Transactions & Payments,Repatriation of Funds,3,17.8
7,Credit,Microfinance & Agricultural Loans,Letter of Credit,2,3.0
8,General Banking,Retail Loans,Education Loan,2,22.1
10,General Banking,Banking Tech & Digital Services,Car Loan,3,3.0
8,General Banking,Credit Cards,Lost/Stolen Card,1,3.0
10,Credit,Cards & Banking Services,Personal Loan,1,7.0
10,Forex,Corporate Loans,SWIFT Transfer,2,3.0
10,Forex,Mortgage & Secured Loans,Current Account,3,3.0
10,Credit,Banking Tech & Digital Services,Home Loan,1,3.0
9,General Banking,Mortgage & Secured Loans,Home Loan,1,3.0
6,Credit,Mortgage & Secured Loans,Repatriation of Funds,3,19.0
3,General Banking,Trade Finance,Mobile Banking Issue,3,24.6
10,Credit,Microfinance & Agricultural Loans,Working Capital Loan,3,34.5
7,Forex,Cards & Banking Services,Debit Card Activation,3,11.4
8,Forex,Corporate Loans,Current Account,1,3.0
9,General Banking,Currency Exchange,Credit Limit Increase,1,135.4
10,General Banking,International Transactions,Letter of Credit,3,3.0
3,General Banking,Mortgage & Secured Loans,Letter of Credit,3,3.0
9,Credit,Currency Exchange,Letter of Credit,1,55.3
10,Credit,Mortgage & Secured Loans,Recurring Deposit,2,3.0
10,Credit,Microfinance & Agricultural Loans,Recurring Deposit,3,41.5
10,General Banking,Microfinance & Agricultural Loans,Cash Currency Exchange,1,21.8
8,General Banking,Foreign Investments & NRI Banking,SWIFT Transfer,1,14.8
6,Credit,Foreign Investments & NRI Banking,Letter of Credit,1,3.0
8,Forex,Cards & Banking Services,Cash Currency Exchange,1,35.3
7,Forex,Corporate Loans,Net Banking Login Issue,3,3.0
10,Credit,Trade Finance,Loan Against Property,3,4.9
4,Credit,Currency Exchange,Reward Points Inquiry,3,20.2
10,General Banking,Accounts & Deposits,SWIFT Transfer,2,3.0
9,General Banking,Retail Loans,Personal Loan,3,3.0
10,Credit,Retail Loans,Letter of Credit,1,3.0
10,Credit,Microfinance & Agricultural Loans,Fixed Deposit,2,40.9
2,General Banking,Foreign Investments & NRI Banking,Personal Loan,2,3.0
7,Forex,Transactions & Payments,Car Loan,2,3.0
10,General Banking,KYC & Documentation,Recurring Deposit,1,44.7
7,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,2,3.0
10,General Banking,Corporate Loans,SWIFT Transfer,2,57.9
10,Forex,Currency Exchange,Car Loan,2,89.1
4,Credit,Transactions & Payments,Savings Account,2,3.0
6,Forex,Accounts & Deposits,Mobile Banking Issue,2,3.0
10,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,3,24.8
8,Credit,Cards & Banking Services,Loan Against Property,1,12.3
10,Forex,Corporate Loans,Bank Guarantee,1,29.8
8,Credit,Credit Cards,Current Account,1,3.0
6,Forex,Credit Cards,Lost/Stolen Card,1,3.0
5,Credit,Foreign Investments & NRI Banking,SWIFT Transfer,3,3.0
10,Credit,Foreign Investments & NRI Banking,Bank Guarantee,3,101.7
6,Credit,Microfinance & Agricultural Loans,Personal Loan,1,42.4
10,General Banking,Microfinance & Agricultural Loans,Home Loan,2,6.8
7,Credit,International Transactions,Letter of Credit,2,3.0
5,General Banking,Credit Cards,Recurring Deposit,3,55.8
8,Forex,Credit Cards,Bank Guarantee,2,16.6
8,General Banking,Foreign Investments & NRI Banking,SWIFT Transfer,1,3.0
8,General Banking,Banking Tech & Digital Services,SWIFT Transfer,3,99.6
6,Credit,Credit Cards,Car Loan,2,15.8
7,Credit,Retail Loans,Car Loan,2,30.5
9,Forex,Microfinance & Agricultural Loans,Repatriation of Funds,1,29.4
7,Forex,Microfinance & Agricultural Loans,Letter of Credit,1,81.9
8,Credit,Foreign Investments & NRI Banking,Net Banking Login Issue,1,3.6
1,Forex,Cards & Banking Services,SWIFT Transfer,1,3.0
2,Credit,Retail Loans,Savings Account,2,17.8
4,General Banking,Foreign Investments & NRI Banking,Recurring Deposit,1,3.0
9,Credit,Cards & Banking Services,Current Account,2,3.0
6,General Banking,Retail Loans,Working Capital Loan,1,3.0
6,Credit,Foreign Investments & NRI Banking,Loan Against Property,3,18.1
10,Credit,Retail Loans,Savings Account,2,3.0
3,Forex,Transactions & Payments,Bank Guarantee,2,46.2
1,Forex,Credit Cards,Working Capital Loan,3,3.0
10,General Banking,KYC & Documentation,SWIFT Transfer,3,122.3
10,Credit,Mortgage & Secured Loans,Loan Against Property,1,3.0
8,General Banking,Banking Tech & Digital Services,Fixed Deposit,2,12.5
7,General Banking,Currency Exchange,NRE/NRO Account Opening,3,23.8
6,General Banking,Cards & Banking Services,Loan Against Property,1,47.9
3,Credit,Mortgage & Secured Loans,Net Banking Login Issue,2,3.0
10,Forex,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,3,3.0
10,Forex,International Transactions,Home Loan,3,3.0
7,Credit,Retail Loans,Personal Loan,1,3.0
8,General Banking,Mortgage & Secured Loans,Debit Card Activation,1,8.8
9,Credit,Currency Exchange,Savings Account,1,3.0
5,General Banking,Mortgage & Secured Loans,Fixed Deposit,2,8.6
10,General Banking,Mortgage & Secured Loans,Credit Limit Increase,2,13.1
6,Forex,Transactions & Payments,Repatriation of Funds,3,29.2
6,Credit,Corporate Loans,Personal Loan,2,3.0
10,Credit,Retail Loans,SWIFT Transfer,1,24.1
9,General Banking,KYC & Documentation,Personal Loan,3,3.0
6,Forex,Banking Tech & Digital Services,Credit Limit Increase,2,52.6
8,General Banking,Retail Loans,Fixed Deposit,3,5.7
10,Forex,Retail Loans,Education Loan,1,3.0
9,Credit,Corporate Loans,Savings Account,3,29.8
5,Forex,Cards & Banking Services,Letter of Credit,2,3.0
7,Forex,Microfinance & Agricultural Loans,Credit Limit Increase,1,79.4
9,General Banking,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,2,3.0
8,General Banking,Microfinance & Agricultural Loans,Home Loan,1,24.2
10,Credit,Trade Finance,Bank Guarantee,1,3.0
1,General Banking,Microfinance & Agricultural Loans,Current Account,3,14.0
10,General Banking,Microfinance & Agricultural Loans,Fixed Deposit,2,6.4
10,Credit,Corporate Loans,NEFT/RTGS/IMPS Issue,1,3.0
8,Credit,Corporate Loans,Loan Against Property,2,3.0
9,Credit,KYC & Documentation,Recurring Deposit,2,50.4
10,General Banking,Transactions & Payments,NRE/NRO Account Opening,2,108.0
7,Forex,Retail Loans,Debit Card Activation,3,3.0
10,Forex,International Transactions,Working Capital Loan,1,3.0
8,General Banking,Mortgage & Secured Loans,Recurring Deposit,1,63.2
6,General Banking,Mortgage & Secured Loans,Home Loan,2,3.0
10,Credit,Trade Finance,NRE/NRO Account Opening,3,51.5
4,General Banking,Mortgage & Secured Loans,Letter of Credit,3,3.0
10,Forex,International Transactions,SWIFT Transfer,1,57.0
9,General Banking,Credit Cards,Personal Loan,1,68.8
6,General Banking,Banking Tech & Digital Services,Debit Card Activation,3,9.1
9,Forex,Transactions & Payments,Loan Against Property,1,67.5
10,General Banking,Foreign Investments & NRI Banking,Recurring Deposit,1,43.8
8,Credit,Corporate Loans,Fixed Deposit,1,3.0
5,General Banking,Mortgage & Secured Loans,Home Loan,1,29.5
4,Credit,Trade Finance,NRE/NRO Account Opening,2,23.4
6,Forex,Cards & Banking Services,Recurring Deposit,3,14.0
9,Forex,Currency Exchange,Savings Account,1,43.9
10,General Banking,Transactions & Payments,NRE/NRO Account Opening,2,109.6
4,General Banking,Transactions & Payments,Home Loan,3,60.8
10,Credit,Banking Tech & Digital Services,Lost/Stolen Card,1,3.0
10,Credit,Accounts & Deposits,Education Loan,1,3.0
6,Credit,Corporate Loans,Car Loan,3,33.4
7,Forex,Foreign Investments & NRI Banking,Reward Points Inquiry,2,3.0
5,Credit,KYC & Documentation,Bank Guarantee,2,3.0
7,Credit,Mortgage & Secured Loans,Letter of Credit,3,3.0
10,Forex,Microfinance & Agricultural Loans,Working Capital Loan,3,3.0
10,Forex,Trade Finance,Fixed Deposit,2,3.0
6,General Banking,Trade Finance,Education Loan,2,34.4
1,General Banking,Currency Exchange,Letter of Credit,1,3.0
9,Credit,Transactions & Payments,Recurring Deposit,2,3.0
5,Credit,Trade Finance,Net Banking Login Issue,2,3.0
7,Forex,Credit Cards,Recurring Deposit,1,38.5
7,Credit,Corporate Loans,Loan Against Property,2,3.0
10,Credit,Trade Finance,Reward Points Inquiry,1,5.6
6,General Banking,Cards & Banking Services,Cash Currency Exchange,2,6.0
7,General Banking,Currency Exchange,Education Loan,3,6.5
10,General Banking,International Transactions,Letter of Credit,2,3.0
8,General Banking,Retail Loans,Current Account,3,8.2
2,General Banking,International Transactions,Repatriation of Funds,3,7.6
7,Credit,Credit Cards,Credit Limit Increase,3,3.0
10,Forex,Currency Exchange,Working Capital Loan,1,3.0
2,Credit,Microfinance & Agricultural Loans,Car Loan,3,3.0
10,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,3,3.0
9,Forex,Mortgage & Secured Loans,Letter of Credit,1,3.0
6,Forex,Retail Loans,Foreign Exchange Rates Inquiry,1,3.0
10,Forex,Microfinance & Agricultural Loans,Mobile Banking Issue,1,23.5
8,General Banking,Currency Exchange,Loan Against Property,3,3.0
10,Forex,Corporate Loans,NEFT/RTGS/IMPS Issue,2,26.5
3,Forex,International Transactions,Home Loan,1,3.0
8,Credit,Mortgage & Secured Loans,Letter of Credit,1,14.5
10,General Banking,KYC & Documentation,Letter of Credit,1,27.3
10,General Banking,Accounts & Deposits,Home Loan,3,25.4
5,General Banking,Foreign Investments & NRI Banking,Repatriation of Funds,2,23.8
10,Credit,Trade Finance,Home Loan,2,3.0
10,Credit,Corporate Loans,Bank Guarantee,2,3.0
3,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,1,56.1
1,Credit,Accounts & Deposits,Cash Currency Exchange,2,14.5
8,General Banking,International Transactions,Letter of Credit,2,3.0
10,Credit,International Transactions,Personal Loan,3,3.0
7,General Banking,Trade Finance,Reward Points Inquiry,3,8.1
5,Forex,Accounts & Deposits,NEFT/RTGS/IMPS Issue,1,10.5
10,Credit,Transactions & Payments,Reward Points Inquiry,3,13.6
9,Forex,International Transactions,Reward Points Inquiry,2,8.4
10,General Banking,International Transactions,Car Loan,3,3.0
2,Credit,Retail Loans,Recurring Deposit,2,26.2
10,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,1,29.7
10,Credit,Retail Loans,Cash Currency Exchange,3,3.0
7,General Banking,Credit Cards,Personal Loan,1,27.1
2,Forex,Microfinance & Agricultural Loans,Savings Account,3,3.0
10,General Banking,Retail Loans,NRE/NRO Account Opening,1,3.0
6,General Banking,Cards & Banking Services,Current Account,1,55.0
7,General Banking,Corporate Loans,Personal Loan,1,34.4
10,Forex,Credit Cards,Cash Currency Exchange,3,3.0
9,Credit,KYC & Documentation,Working Capital Loan,1,3.0
4,General Banking,Cards & Banking Services,SWIFT Transfer,1,3.0
10,Credit,KYC & Documentation,Repatriation of Funds,3,3.0
10,Forex,Mortgage & Secured Loans,Repatriation of Funds,2,8.8
4,Forex,Foreign Investments & NRI Banking,Working Capital Loan,3,30.8
4,Credit,Corporate Loans,SWIFT Transfer,1,27.4
7,General Banking,Cards & Banking Services,Cash Currency Exchange,1,33.0
9,Forex,KYC & Documentation,Working Capital Loan,3,3.1
10,Forex,International Transactions,Recurring Deposit,2,3.0
5,Credit,International Transactions,Fixed Deposit,3,3.0
7,Forex,Trade Finance,Debit Card Activation,1,3.0
10,Forex,KYC & Documentation,Car Loan,3,53.9
4,Credit,Credit Cards,Repatriation of Funds,2,54.3
10,General Banking,Mortgage & Secured Loans,Current Account,1,3.0
10,General Banking,Banking Tech & Digital Services,Reward Points Inquiry,3,41.8
9,Forex,Currency Exchange,Recurring Deposit,2,3.0
9,Credit,Transactions & Payments,Home Loan,2,52.7
10,General Banking,Mortgage & Secured Loans,Letter of Credit,3,14.6
10,General Banking,Mortgage & Secured Loans,Recurring Deposit,1,3.0
1,General Banking,Retail Loans,Net Banking Login Issue,3,3.0
10,Credit,Banking Tech & Digital Services,Education Loan,2,28.2
8,General Banking,Microfinance & Agricultural Loans,Education Loan,2,3.0
2,Forex,Trade Finance,Working Capital Loan,1,3.1
8,General Banking,Banking Tech & Digital Services,Fixed Deposit,2,57.3
9,Credit,Cards & Banking Services,Letter of Credit,3,3.0
1,Forex,Banking Tech & Digital Services,Education Loan,2,4.7
2,General Banking,Cards & Banking Services,Lost/Stolen Card,1,30.5
10,Credit,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,1,33.4
10,Credit,Credit Cards,Fixed Deposit,2,131.2
6,Forex,Foreign Investments & NRI Banking,Loan Against Property,2,3.0
10,General Banking,KYC & Documentation,Savings Account,1,3.0
10,Credit,Corporate Loans,Recurring Deposit,1,3.0
5,General Banking,Credit Cards,Savings Account,2,3.0
10,Forex,Retail Loans,Lost/Stolen Card,2,24.1
6,Forex,Credit Cards,SWIFT Transfer,2,10.5
6,Forex,International Transactions,NEFT/RTGS/IMPS Issue,2,19.9
10,General Banking,International Transactions,NEFT/RTGS/IMPS Issue,3,3.0
8,Credit,Foreign Investments & NRI Banking,Reward Points Inquiry,1,3.0
8,General Banking,Trade Finance,Car Loan,3,3.0
6,Credit,Foreign Investments & NRI Banking,Personal Loan,2,40.7
1,Forex,Banking Tech & Digital Services,Repatriation of Funds,2,48.5
10,Forex,Retail Loans,Letter of Credit,1,28.2
10,General Banking,Corporate Loans,Cash Currency Exchange,1,99.5
10,General Banking,Cards & Banking Services,NRE/NRO Account Opening,1,3.0
9,General Banking,Currency Exchange,Savings Account,2,3.0
9,General Banking,Cards & Banking Services,Fixed Deposit,3,8.4
8,Forex,Corporate Loans,Personal Loan,3,19.6
9,Forex,Cards & Banking Services,Education Loan,2,30.2
10,General Banking,Trade Finance,Loan Against Property,1,29.5
